,open,high,low,close,VWAP,Upper_Band_#1,Lower_Band_#1,Upper_Band_#2,Lower_Band_#2,Upper_Band_#3,Lower_Band_#3,Volume,RSI,RSI-based_MA,Histogram,MACD,Signal,ATR,MACD_Signal_Diff,Steps_Since_Crossover
PC1,0.3017277425410214,0.30164406004008926,0.3017764450147577,0.30170268553513113,0.3025240559790802,0.3020831673381201,0.30154943919081584,0.30016990289848633,0.2992704675250244,0.2967899061122393,0.29583919179901047,-0.015807728088850403,0.001100117518191248,0.0024645588438359555,-0.001829950176692144,-0.0026903358222854314,-0.0023323431502607923,-0.0809259316675563,-0.0018299501781918529,-0.008670594854169319
PC2,0.02526886122264176,0.02608283749600368,0.026183646538727803,0.026545406221357357,-0.013657544539599645,-0.010096960186773335,-0.01708645063153292,-0.006451875847025754,-0.020344504083732604,-0.0027745629204617255,-0.023402310863320626,-0.026624480601605507,0.46088273254869333,0.4503785501662201,0.32161667743097644,0.46134756523149517,0.39797815666750924,0.02771465838643865,0.32161667742549704,-0.029430461786737354
PC3,-0.010007924827641844,-0.006526932541750512,-0.011433882148176922,-0.00802459105626884,0.018168964719549593,0.020399449123236102,0.015896670261070462,0.02255299807379206,0.013617411053682832,0.024596793305479057,0.011363431387776974,0.2636406256501206,0.0943974663646827,-0.2145741055094521,0.5228942287601898,-0.2647349569834671,-0.4076740033579667,0.28489238305862974,0.52289422876405,-0.0921549851246303
PC4,0.030329608418700738,0.035056281009334236,0.024300956502292637,0.029732444734573035,0.0094716562895517,0.034817073955192124,-0.015432658855156286,0.06024552194513321,-0.03957587580008243,0.08538462164732749,-0.0626935423434134,0.6551476035356478,-0.049503407052526614,0.08753633421893253,-0.22730894990678335,0.11215046686636208,0.17417257494603391,0.6065971164470241,-0.2273089499265842,-0.1577198495344077
PC5,0.01109033191767194,0.012212871093691196,0.009913823365002017,0.011199931759187945,0.004346457890439414,0.010058913128132898,-0.0012768666784134925,0.015779334233278087,-0.0067380856324418354,0.021423786829885525,-0.01197645121627785,0.09838010564719234,-0.02993457887524685,-0.05152950164377284,0.03893655807528754,0.04773174483553891,0.039740518034089165,0.15263929783562896,0.03893655807531786,0.9772753514698832
PC6,-0.016932966753666397,-0.013612826903554111,-0.014645970504392187,-0.011864119045146662,-0.0035216284499609593,-0.012475753958179016,0.005277478729239923,-0.021458360086509403,0.013808450559046526,-0.03033789120348061,0.021977769608436375,0.372667107108278,0.533359373932719,0.39669503692396835,-0.17095861194653456,-0.3511879547095345,-0.321670338713202,-0.3477461751242891,-0.170958611902656,0.10008212507216306
PC7,0.002820484944610075,0.003347749513177292,0.008291978128244792,0.008150722800931388,0.012711228813792021,0.04815418419262223,-0.02211240679997323,0.08371584345638326,-0.05586944751197074,0.1188754748093517,-0.08819036061996927,-0.5884137773068461,0.36206813648102903,0.14050148106179017,-0.14445090691694926,-0.21276668817796385,-0.1845235054723805,0.5887635272462468,-0.14445090687857304,0.008924597795996567
PC8,-0.04098290237078685,-0.04996110295667485,-0.04989557406968096,-0.057744461317372625,0.03267682646417603,0.005848715178755304,0.05883941783723849,-0.021274798954943015,0.08401423961508668,-0.048299671181510566,0.10794346956280497,-0.06691135255908787,-0.5790168635068991,0.7431132170132141,0.09682248598898417,-0.1298576398169584,-0.1595044019241892,0.10204094488493419,0.09682248596037331,0.022791782584576856
PC9,-0.11971323962835323,-0.11541025495834545,-0.11838723064331942,-0.1141141991644549,0.0822247161939854,-0.09353238567753815,0.25423508279264523,-0.270584013912434,0.4203367449360219,-0.44634832714125594,0.5787724119865587,-0.0180142648940971,0.15075595423603433,-0.10054232941172096,-0.053695396815495525,0.039904241031732,0.055082703628123196,0.19367139228941171,-0.053695396794545054,0.0013537522082020007
PC10,-0.3759079668603014,-0.37680926881033827,-0.3742081678835936,-0.37416245139924115,0.2131109394822618,0.2743107745941509,0.1520913794925275,0.3347866149555165,0.09209812259229681,0.3936387785503874,0.03386817930661936,0.02560331537000888,0.040558076791440634,-0.03614970224513728,-0.00039820565820395017,0.06140056944696741,0.06391630191157999,-0.06893873858079326,-0.00039820544949504925,0.0024615319288760025
PC11,0.6893318451967799,-0.3130873816514527,0.23340927949690526,-0.6100378060007468,0.00015247983007895115,-0.00019234469655679572,0.0004899931618807548,-0.0005396652642556786,0.000815947937776479,-0.0008844110077669547,0.0011269014737323303,0.003138871220308003,0.010203790085270127,-0.006885072308427064,-0.0011301037038916875,-9.707917618595426e-05,0.00018552688751010492,0.0021396704587416174,-0.0011301024928890777,0.00014945858718531154
PC12,0.26374225357308323,0.6611634114431305,-0.6411552086241998,-0.2865592559871873,0.00023685209822975784,0.000527885572388064,-4.971589585480854e-05,0.0008192542412576512,-0.0003280956527992204,0.0011066738257308434,-0.0005951709438847766,-0.007665019578822819,0.005082371168036867,-0.0022812456055371303,-0.0009020827137475548,-0.0005185530110693432,-0.0003103149592271267,-0.003504323330534548,-0.0009020809596222056,-5.6714450277149143e-05
PC13,0.4525793937716056,-0.46233289223302915,-0.53389683234698,0.5444019133880862,-0.0001299496920703055,-0.00011179273359454331,-0.00014715671884273817,-9.28880873511959e-05,-0.0001632442633860301,-7.355028794431581e-05,-0.00017808723253930704,-0.0007224852789946977,-1.7687688666082418e-07,0.000316730179768647,8.962867799101132e-05,-7.301517863344695e-05,-9.860300097321251e-05,-0.000374622083467592,8.96281536564938e-05,-3.155619131295015e-05
PC14,-1.3726301418468708e-09,6.288802133210127e-10,3.3441215165839872e-09,-2.5604002504042937e-09,0.6185580879001095,-0.43600793424377066,-0.4689782790831487,0.39685538188349234,0.07376873298739334,-0.20638516432331303,0.02046477358606576,1.9465295754864467e-11,-5.326215111563774e-11,2.7944279777012074e-11,-0.024309881568146192,-0.007741061541362215,0.007448135668946433,1.837250698060576e-11,0.0261976088663555,-3.2656435638198274e-11
PC15,-1.5916776382731147e-09,3.417672511307559e-09,-1.6427864923333176e-09,-2.8347349673078533e-10,-0.12186599502834632,-0.5908610931153441,-0.08908779275713898,-0.27821298133331696,0.28953879229441726,0.6692553127259527,0.1367414902614541,-1.436993624805148e-11,-1.4307949340598119e-11,1.912311180779217e-11,-0.009981766981112153,0.00685242277364715,-0.006593123474060252,-5.265121538468332e-11,0.008310742226481933,2.3012858609759027e-11
PC16,2.890507419796706e-09,2.010072967135456e-09,-1.1116709844307021e-09,-3.874908606874571e-09,-0.3963366464002803,0.18759808641895595,-0.35426761271891616,0.22705893851089448,0.7300689680122343,-0.11962069576408137,-0.27407382950372494,2.0747834666158497e-11,3.2581436429751607e-11,-5.453474999981188e-11,0.019390330412887062,0.059066301417347485,-0.05683120144311963,-7.762917597641457e-11,-0.033794177758716314,-3.7944726030789305e-11
PC17,-2.2675661981562942e-10,-8.446895910672602e-10,-8.481566367432448e-11,1.3502508111033415e-09,-0.002590375289563538,0.06048209832233624,-0.018098344025542633,-0.04991207604360271,0.046305727099249815,0.0011328021347145536,-0.03799856707244494,9.144554437163554e-12,-5.427076518593016e-11,2.2886729763816532e-11,-0.6766058229994873,-0.1274879019757924,0.12266369270040087,1.4171244348382646e-11,0.7076948913695856,-6.1667579088753764e-12
PC18,-1.759941316180895e-10,-7.492236886215059e-10,-2.060307612367541e-10,1.1622619154559325e-09,0.12791148347751302,0.035112132126708155,0.017511854603566617,-0.11837486331934796,-0.015348973405772598,0.008743493034237148,-0.057641752982784886,-1.1387975433371838e-11,-1.8955921356287016e-11,2.9725903634664824e-11,-0.20259851962403416,0.6920329562775932,-0.6658460651086427,2.5205020753416804e-11,0.03384007629674625,1.864820841451132e-12
PC19,-1.8020895508237118e-09,2.3248185901814706e-09,3.198952347286765e-09,-3.4255666384401468e-09,-0.5287543287898065,-0.2818921659173166,0.09876413138566846,0.617314336325274,-0.23195612001658988,-0.06034299109972399,0.3967058455118242,7.909745967374099e-11,-1.0727487302770364e-11,-1.1672654837189184e-10,-0.0873372614347651,0.11179200771753323,-0.10756173925135792,-7.480922360747952e-11,0.060075777755466075,-4.800296886122978e-12
PC20,-5.51378075976029e-09,3.920593014054801e-09,7.303455465904523e-09,-5.425542203032879e-09,0.06275000302829076,-0.4020492736060897,0.6728786662845365,0.1679757263612882,0.18501678098045538,-0.15317622562889954,-0.5434283719747273,-4.4432518956120856e-11,1.5685839885105232e-11,-2.6796973326249428e-11,-0.008162651876876351,-0.011237963483689583,0.010812712987128456,8.226913012989043e-11,0.010903130048481643,1.681728730063879e-11
